epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3325,1.41854,3.21574,1.37253,0.00496,1,0.72484,0.47352,1.07482,2.5957,1.0816,0.00020004,0.00020004,0.00020004
2,48.5937,1.36948,1.706,1.27328,0.005,0.98649,0.93727,0.57541,1.20599,2.49534,1.15479,0.000412624,0.000412624,0.000412624
3,70.5628,1.34689,1.45909,1.28818,0.92239,0.77947,0.92095,0.58806,1.20993,2.00805,1.17997,0.000620917,0.000620917,0.000620917
4,90.9853,1.38049,1.33148,1.30346,0.91314,0.8378,0.93428,0.585,1.29277,1.46328,1.20848,0.00082492,0.00082492,0.00082492
5,112.367,1.3533,1.23619,1.27114,0.71861,0.61137,0.59564,0.29249,1.66855,1.93114,1.56487,0.00102463,0.00102463,0.00102463
6,132.948,1.36821,1.1668,1.28012,0.76287,0.74853,0.75299,0.44308,1.36627,1.36167,1.34453,0.00122005,0.00122005,0.00122005
7,153.531,1.35069,1.11709,1.25976,0.59012,0.53405,0.63096,0.3538,1.47057,1.63563,1.36245,0.00141118,0.00141118,0.00141118
8,175.895,1.39888,1.05987,1.29625,0.92645,0.86595,0.93302,0.56094,1.35049,2.35523,1.31305,0.00155148,0.00155148,0.00155148
9,196.999,1.35275,0.98776,1.28653,0.96521,0.95946,0.95539,0.58211,1.44606,1.13041,1.29227,0.00153497,0.00153497,0.00153497
10,218.603,1.36283,0.97233,1.27812,0.84467,0.8749,0.94802,0.5314,1.42242,1.75126,1.27616,0.00151847,0.00151847,0.00151847
11,238.917,1.33754,0.85817,1.27699,0.8401,0.76691,0.86263,0.45317,1.4771,1.74189,1.41017,0.00150197,0.00150197,0.00150197
12,260.098,1.33693,0.84525,1.27818,0.60137,0.50988,0.59821,0.30901,1.65289,1.51897,1.60213,0.00148546,0.00148546,0.00148546
13,280.43,1.2971,0.79575,1.26393,0.88095,0.89261,0.94731,0.55434,1.34364,0.90338,1.35103,0.00146896,0.00146896,0.00146896
